symbol,start_date,end_date
NVDA,2023-12-25,2025-12-25
AAPL,2023-12-25,2025-12-25
MSFT,2023-12-25,2025-12-25
AMZN,2023-12-25,2025-12-25
GOOGL,2023-12-25,2025-12-25
AVGO,2023-12-25,2025-12-25
GOOG,2023-12-25,2025-12-25
META,2023-12-25,2025-12-25
TSLA,2023-12-25,2025-12-25
JPM,2023-12-25,2025-12-25
WMT,2023-12-25,2025-12-25
LLY,2023-12-25,2025-12-25
V,2023-12-25,2025-12-25
ORCL,2023-12-25,2025-12-25
XOM,2023-12-25,2025-12-25
JNJ,2023-12-25,2025-12-25
MA,2023-12-25,2025-12-25
NFLX,2023-12-25,2025-12-25
BAC,2023-12-25,2025-12-25
COST,2023-12-25,2025-12-25
HD,2023-12-25,2025-12-25
PG,2023-12-25,2025-12-25
CSCO,2023-12-25,2025-12-25
AMD,2023-12-25,2025-12-25
ABT,2023-12-25,2025-12-25
INTU,2023-12-25,2025-12-25
PEP,2023-12-25,2025-12-25
QCOM,2023-12-25,2025-12-25
SCHW,2023-12-25,2025-12-25
ACN,2023-12-25,2025-12-25
NEE,2023-12-25,2025-12-25
AMGN,2023-12-25,2025-12-25
T,2023-12-25,2025-12-25
DIS,2023-12-25,2025-12-25
MRK,2023-12-25,2025-12-25
UBER,2023-12-25,2025-12-25
GS,2023-12-25,2025-12-25
IBM,2023-12-25,2025-12-25
RTX,2023-12-25,2025-12-25
MCD,2023-12-25,2025-12-25
WFC,2023-12-25,2025-12-25
PM,2023-12-25,2025-12-25
CAT,2023-12-25,2025-12-25
SPGI,2023-12-25,2025-12-25
AXP,2023-12-25,2025-12-25
MS,2023-12-25,2025-12-25
BA,2023-12-25,2025-12-25
TMO,2023-12-25,2025-12-25
